Date,Close,High,Low,Open,Volume,Adj Close,Returns,SMA_20,SMA_50
2024-04-01,154.7501678466797,154.99897832063243,149.89338253554243,149.97300370954966,31730800,154.7501678466797,,,
2024-04-02,153.82456970214844,153.96390294626983,151.4260333268872,152.7696158272029,24586000,153.82456970214844,-0.005981241619384181,,
2024-04-03,154.18284606933594,154.3420883898699,152.0032642638509,152.8691348903896,24705000,154.18284606933594,0.002329123155561108,,
2024-04-04,149.81375122070312,154.03358204033015,149.73413005208545,152.7696206660751,34724700,149.81375122070312,-0.028337100786607783,,
2024-04-05,151.7743682861328,152.6899888823038,148.8881732587718,149.31611992588236,23449300,151.7743682861328,0.013087030058684945,,
2024-04-08,154.1132049560547,154.5312047063974,151.8838577680416,152.0530470584528,20702000,154.1132049560547,0.015409958192101225,,
2024-04-09,155.8548583984375,157.80552365250796,154.45156393780977,155.34727540542815,31113000,155.8548583984375,0.011301130509091983,,
2024-04-10,155.39706420898438,155.8648291004754,153.94400440401932,155.4667384289104,22838600,155.39706420898438,-0.002937310996637632,,
2024-04-11,158.6514892578125,158.92019359328873,155.7155291650152,156.16338491032602,27166400,158.6514892578125,0.02094264177636873,,
2024-04-12,156.9794921875,159.4576498521726,156.39230314278245,157.20840874623565,25329200,156.9794921875,-0.010538804760889864,,
2024-04-15,154.12315368652344,158.48231785442226,153.85443413456358,158.1041210913814,27136500,154.12315368652344,-0.01819561562579708,,
2024-04-16,153.66531372070312,154.9093658563506,152.699928048546,153.456321466177,20779500,153.66531372070312,-0.0029706111954569403,,
2024-04-17,154.73023986816406,156.33257973226392,153.84447529646815,154.8795200598381,21763100,154.73023986816406,0.006930166097187662,,
2024-04-18,155.26768493652344,156.1932678097861,153.88429928885304,154.6008746790608,19883000,155.26768493652344,0.0034734326581364883,,
2024-04-19,153.3568115234375,155.6160147529958,151.57533531126506,155.45677241386718,32239100,153.3568115234375,-0.012306961450910703,,
2024-04-22,155.53639221191406,156.88992171020138,153.32695413108942,153.5757645889644,26446200,155.53639221191406,0.014212480468423605,,
2024-04-23,157.50697326660156,158.21360167796144,155.53639861128644,156.21317098136774,21151600,157.50697326660156,0.01266958186867706,,
2024-04-24,158.37283325195312,158.8107420758396,156.42215263269097,156.74063729958468,22779100,158.37283325195312,0.00549728032603336,,
2024-04-25,155.25772094726562,155.74539489675468,150.15212564884374,150.60994355919925,57109700,155.25772094726562,-0.019669486494137023,,
2024-04-26,171.13182067871094,173.8786977049699,168.84276155222324,173.54030395897186,64665300,171.13182067871094,0.10224354469841179,155.71453781127929,
2024-04-29,165.3594207763672,168.74325204452023,164.4239062306873,168.25557809024173,45610000,165.3594207763672,-0.033730722196785745,156.24500045776367,
2024-04-30,162.00546264648438,167.3001564313842,161.82632640780892,164.8219988264117,33562900,162.00546264648438,-0.020282836708884755,156.65404510498047,
2024-05-01,163.080322265625,166.3248050727695,162.31398182603573,163.51823108824746,33493200,163.080322265625,0.006634712197860271,157.09891891479492,
2024-05-02,165.8271942138672,165.93667142615246,163.1101881822967,164.0058997837683,24294500,165.8271942138672,0.016843675006774195,157.89959106445312,
2024-05-03,166.44424438476562,167.16081969689057,162.27417880581723,166.7627138644963,34662400,166.44424438476562,0.003721043305494387,158.63308486938476,
2024-05-06,167.30015563964844,167.3399586304374,165.2399977875199,166.66320148373052,21871300,167.30015563964844,0.005142330142123841,159.29243240356445,
2024-05-07,170.43515014648438,170.94271797332505,167.58875812637166,167.69823532661383,28039700,170.43515014648438,0.01873874232124728,160.0214469909668,
2024-05-08,168.5740509033203,169.34037610962505,167.93709679670465,168.1958541822666,19569100,168.5740509033203,-0.010919691399130405,160.6802963256836,
2024-05-09,169.15130615234375,169.87782842770906,167.37976174414283,168.58401102643612,15346700,169.15130615234375,0.00342434227527999,161.20528717041014,
2024-05-10,167.84751892089844,169.0418211972959,165.39923266388908,167.2304738812949,29799900,167.84751892089844,-0.007707816517071864,161.7486885070801,
2024-05-13,168.33518981933594,168.47452305757707,163.2196478065062,163.47840519575857,31327600,168.33518981933594,0.002905440018254435,162.45929031372071,
2024-05-14,169.52947998046875,170.43515363864887,167.99681433185833,168.9622000666333,25127100,169.52947998046875,0.007094714791450185,163.25249862670898,
2024-05-15,171.68914794921875,171.82848118606026,169.69866445937762,169.81810379537313,26948400,171.68914794921875,0.012739188305177507,164.1004440307617,
2024-05-16,173.35121154785156,174.28674128104558,171.86831096693263,172.46544694250113,27867900,173.35121154785156,0.009680656107189822,165.00462036132814,
2024-05-17,175.22227478027344,175.43128224723478,172.86355649440316,173.3512152736709,24479300,175.22227478027344,0.01079348229363486,166.09789352416993,
2024-05-20,176.0781707763672,177.9193741112275,175.24217134065958,175.3516485419678,22554400,176.0781707763672,0.004884630091505304,167.12498245239257,
2024-05-21,177.00376892089844,177.30232932665308,174.97346704465423,176.05827701539062,16989400,177.00376892089844,0.005256745571867727,168.0998222351074,
2024-05-22,175.54075622558594,176.30708148924128,174.37632512413728,175.79951363051288,17880000,175.54075622558594,-0.008265432449443,168.95821838378907,
2024-05-23,172.72421264648438,177.40184593977742,172.12706150853876,176.22746793765114,21024900,172.72421264648438,-0.01604495525518901,169.83154296875,
2024-05-24,174.15736389160156,174.93365126217552,172.82372836993727,174.14740175468117,16572500,174.15736389160156,0.008297338416880962,169.98282012939453,
2024-05-28,175.56063842773438,176.42650907586395,173.54029889240527,173.61992005465763,20572200,175.56063842773438,0.008057509052595835,170.49288101196288,
